Warehouse_block,Mode_of_Shipment,Cost_of_the_Product,Product_importance,Discount_offered,Reached.on.Time_Y.N,Customer_calls_class,Prior_purchase_category,Weight_category
D,Ship,135,low,4,ontime,occasionally calls,0-3 purchase,medium
F,Ship,134,low,6,late,seldom calls,0-3 purchase,medium
A,Ship,166,medium,3,ontime,seldom calls,> 3 purchase,medium
B,Ship,174,low,10,ontime,frequently calls,0-3 purchase,medium
C,Ship,252,medium,4,ontime,occasionally calls,> 3 purchase,medium
F,Ship,219,low,7,late,frequently calls,> 3 purchase,medium
D,Road,244,medium,7,late,occasionally calls,0-3 purchase,medium
F,Road,132,low,5,late,frequently calls,0-3 purchase,medium
A,Road,223,low,2,ontime,occasionally calls,> 3 purchase,heavy
B,Road,260,low,10,ontime,seldom calls,> 3 purchase,medium
C,Road,269,medium,6,ontime,seldom calls,0-3 purchase,heavy
F,Road,170,low,5,ontime,seldom calls,0-3 purchase,medium
D,Road,170,low,10,late,seldom calls,> 3 purchase,heavy
F,Road,173,medium,2,ontime,occasionally calls,0-3 purchase,medium
A,Road,148,medium,6,ontime,occasionally calls,> 3 purchase,heavy
B,Road,174,medium,7,ontime,seldom calls,> 3 purchase,medium
C,Road,263,low,4,late,frequently calls,> 3 purchase,medium
F,Road,142,high,7,late,occasionally calls,> 3 purchase,medium
D,Road,183,low,2,ontime,seldom calls,0-3 purchase,medium
F,Road,174,medium,1,late,frequently calls,> 3 purchase,heavy
A,Road,140,low,4,late,occasionally calls,0-3 purchase,medium
B,Road,154,high,7,late,frequently calls,0-3 purchase,medium
C,Road,108,medium,5,ontime,occasionally calls,> 3 purchase,medium
F,Road,198,low,8,ontime,frequently calls,0-3 purchase,medium
D,Road,266,high,5,late,occasionally calls,0-3 purchase,medium
F,Road,197,low,8,ontime,occasionally calls,> 3 purchase,medium
A,Road,219,low,1,late,seldom calls,> 3 purchase,medium
B,Road,255,low,9,late,seldom calls,> 3 purchase,medium
C,Flight,255,low,3,ontime,seldom calls,> 3 purchase,medium
F,Flight,219,low,8,ontime,frequently calls,> 3 purchase,medium
D,Flight,244,medium,7,late,occasionally calls,0-3 purchase,heavy
F,Flight,132,low,3,ontime,frequently calls,0-3 purchase,medium
A,Flight,223,low,3,ontime,occasionally calls,> 3 purchase,heavy
B,Flight,260,low,8,late,seldom calls,> 3 purchase,heavy
C,Flight,269,medium,6,late,seldom calls,0-3 purchase,heavy
F,Flight,170,low,3,late,seldom calls,0-3 purchase,medium
D,Flight,170,low,10,ontime,seldom calls,> 3 purchase,medium
F,Flight,173,medium,5,late,occasionally calls,0-3 purchase,medium
A,Flight,148,medium,5,late,occasionally calls,> 3 purchase,medium
B,Flight,174,medium,4,late,seldom calls,> 3 purchase,medium
C,Flight,263,low,10,ontime,frequently calls,> 3 purchase,heavy
F,Flight,142,high,5,late,occasionally calls,> 3 purchase,medium
D,Flight,183,low,4,ontime,seldom calls,0-3 purchase,medium
F,Flight,174,medium,7,ontime,frequently calls,> 3 purchase,medium
A,Flight,140,low,7,ontime,occasionally calls,0-3 purchase,medium
B,Flight,154,high,7,ontime,frequently calls,0-3 purchase,medium
C,Flight,108,medium,7,late,occasionally calls,> 3 purchase,heavy
F,Flight,198,low,6,late,frequently calls,0-3 purchase,medium
D,Flight,266,high,1,late,occasionally calls,0-3 purchase,heavy
F,Flight,197,low,8,late,occasionally calls,> 3 purchase,medium
A,Ship,219,low,2,ontime,seldom calls,> 3 purchase,medium
B,Ship,255,low,10,ontime,seldom calls,> 3 purchase,heavy
C,Ship,255,low,3,ontime,seldom calls,> 3 purchase,heavy
F,Ship,247,low,3,ontime,frequently calls,> 3 purchase,light
D,Ship,275,medium,6,ontime,frequently calls,> 3 purchase,light
F,Ship,291,low,3,late,frequently calls,> 3 purchase,light
A,Ship,265,low,9,ontime,frequently calls,> 3 purchase,light
B,Ship,250,medium,8,ontime,frequently calls,> 3 purchase,light
C,Ship,291,low,9,late,frequently calls,> 3 purchase,light
F,Ship,255,low,3,late,frequently calls,> 3 purchase,light
D,Ship,290,medium,3,late,frequently calls,> 3 purchase,light
F,Ship,276,low,7,ontime,frequently calls,> 3 purchase,light
A,Ship,149,medium,1,late,occasionally calls,0-3 purchase,light
B,Ship,310,medium,5,late,frequently calls,> 3 purchase,light
C,Ship,273,low,7,ontime,frequently calls,> 3 purchase,light
F,Ship,244,low,5,late,frequently calls,> 3 purchase,light
D,Ship,275,low,4,late,frequently calls,> 3 purchase,light
F,Ship,308,low,7,ontime,frequently calls,> 3 purchase,light
A,Ship,264,low,6,ontime,frequently calls,> 3 purchase,light
B,Ship,256,medium,2,late,frequently calls,> 3 purchase,light
C,Ship,252,medium,4,ontime,frequently calls,> 3 purchase,light
F,Ship,244,low,4,late,frequently calls,> 3 purchase,light
D,Ship,280,medium,5,ontime,frequently calls,> 3 purchase,light
F,Ship,227,low,10,late,frequently calls,> 3 purchase,light
A,Ship,272,low,7,late,frequently calls,> 3 purchase,light
B,Ship,274,medium,8,late,frequently calls,> 3 purchase,light
C,Ship,310,low,2,ontime,frequently calls,> 3 purchase,light
F,Ship,282,medium,5,late,frequently calls,> 3 purchase,light
D,Ship,247,medium,10,ontime,frequently calls,> 3 purchase,light
F,Ship,262,low,2,ontime,occasionally calls,> 3 purchase,medium
A,Ship,213,medium,7,ontime,seldom calls,0-3 purchase,medium
B,Ship,136,medium,7,late,occasionally calls,0-3 purchase,medium
C,Ship,134,low,4,ontime,seldom calls,0-3 purchase,medium
F,Ship,171,medium,6,ontime,seldom calls,0-3 purchase,medium
D,Ship,182,low,10,late,seldom calls,0-3 purchase,medium
F,Ship,185,medium,9,ontime,occasionally calls,0-3 purchase,medium
A,Ship,271,medium,4,ontime,occasionally calls,0-3 purchase,heavy
B,Ship,166,low,1,late,occasionally calls,> 3 purchase,medium
C,Ship,196,low,4,ontime,occasionally calls,0-3 purchase,heavy
F,Ship,157,low,6,ontime,occasionally calls,> 3 purchase,medium
D,Ship,218,low,4,late,occasionally calls,0-3 purchase,medium
F,Ship,142,medium,6,ontime,occasionally calls,0-3 purchase,heavy
A,Ship,237,low,9,late,seldom calls,0-3 purchase,medium
B,Ship,213,low,2,ontime,frequently calls,> 3 purchase,medium
C,Ship,241,medium,3,late,frequently calls,0-3 purchase,medium
F,Ship,170,high,7,late,seldom calls,0-3 purchase,medium
D,Ship,156,medium,9,ontime,seldom calls,0-3 purchase,medium
F,Ship,228,medium,8,ontime,seldom calls,0-3 purchase,medium
A,Ship,145,high,10,ontime,seldom calls,0-3 purchase,medium
B,Ship,145,low,3,late,occasionally calls,0-3 purchase,heavy
C,Ship,166,medium,8,late,seldom calls,0-3 purchase,medium
F,Ship,106,medium,4,late,frequently calls,> 3 purchase,medium
D,Ship,210,high,4,ontime,frequently calls,0-3 purchase,medium
F,Ship,235,medium,6,late,seldom calls,0-3 purchase,medium
A,Ship,142,medium,5,ontime,occasionally calls,0-3 purchase,medium
B,Ship,271,low,9,late,seldom calls,0-3 purchase,medium
C,Ship,245,medium,2,late,occasionally calls,0-3 purchase,medium
F,Ship,192,medium,2,ontime,occasionally calls,> 3 purchase,heavy
D,Ship,270,medium,9,late,frequently calls,0-3 purchase,medium
F,Ship,197,low,7,ontime,occasionally calls,0-3 purchase,medium
A,Ship,255,medium,1,ontime,seldom calls,0-3 purchase,heavy
B,Ship,223,medium,9,ontime,frequently calls,0-3 purchase,heavy
C,Ship,256,low,7,late,seldom calls,0-3 purchase,medium
F,Ship,229,low,9,ontime,occasionally calls,0-3 purchase,medium
D,Ship,233,low,5,late,seldom calls,0-3 purchase,medium
F,Ship,164,medium,4,late,seldom calls,> 3 purchase,heavy
A,Ship,171,medium,6,late,seldom calls,0-3 purchase,heavy
B,Ship,178,low,5,ontime,frequently calls,> 3 purchase,medium
C,Ship,233,high,1,late,seldom calls,0-3 purchase,medium
F,Ship,232,medium,2,late,seldom calls,0-3 purchase,medium
D,Ship,236,low,1,ontime,occasionally calls,0-3 purchase,medium
F,Ship,197,medium,3,ontime,seldom calls,0-3 purchase,medium
A,Ship,152,low,6,late,seldom calls,0-3 purchase,heavy
B,Ship,219,medium,7,late,seldom calls,0-3 purchase,medium
C,Ship,205,low,10,ontime,occasionally calls,0-3 purchase,heavy
F,Ship,142,low,7,ontime,seldom calls,0-3 purchase,medium
D,Ship,112,medium,9,late,frequently calls,> 3 purchase,medium
F,Ship,254,low,8,ontime,seldom calls,0-3 purchase,heavy
A,Ship,256,high,1,ontime,occasionally calls,0-3 purchase,medium
B,Ship,168,medium,4,ontime,occasionally calls,> 3 purchase,medium
C,Ship,171,low,5,ontime,seldom calls,0-3 purchase,heavy
F,Ship,215,medium,5,late,frequently calls,> 3 purchase,medium
D,Ship,169,low,9,late,seldom calls,0-3 purchase,medium
F,Ship,149,medium,3,late,seldom calls,> 3 purchase,heavy
A,Ship,223,low,9,ontime,occasionally calls,0-3 purchase,medium
B,Ship,224,low,6,late,frequently calls,0-3 purchase,heavy
C,Ship,186,medium,10,ontime,seldom calls,0-3 purchase,medium
F,Ship,184,medium,2,ontime,occasionally calls,0-3 purchase,medium
D,Ship,152,low,3,late,seldom calls,0-3 purchase,heavy
F,Ship,249,low,9,ontime,frequently calls,0-3 purchase,medium
A,Ship,173,medium,10,ontime,seldom calls,> 3 purchase,heavy
B,Ship,167,medium,2,ontime,frequently calls,0-3 purchase,heavy
C,Ship,230,medium,9,ontime,frequently calls,0-3 purchase,medium
F,Road,237,low,8,ontime,frequently calls,0-3 purchase,medium
D,Road,202,high,5,ontime,seldom calls,> 3 purchase,medium
F,Road,134,low,3,ontime,occasionally calls,> 3 purchase,medium
A,Road,263,medium,2,ontime,frequently calls,0-3 purchase,medium
B,Road,272,low,1,ontime,frequently calls,0-3 purchase,medium
C,Road,231,low,8,ontime,occasionally calls,> 3 purchase,medium
F,Road,190,medium,7,late,seldom calls,> 3 purchase,heavy
D,Road,223,low,5,late,frequently calls,0-3 purchase,medium
F,Road,257,medium,5,ontime,frequently calls,0-3 purchase,medium
A,Road,184,medium,2,ontime,occasionally calls,0-3 purchase,medium
B,Road,193,medium,1,late,seldom calls,0-3 purchase,heavy
C,Road,204,low,7,late,occasionally calls,0-3 purchase,medium
F,Road,236,medium,8,ontime,seldom calls,0-3 purchase,heavy
D,Road,222,medium,3,late,frequently calls,0-3 purchase,medium
F,Road,140,medium,6,late,occasionally calls,> 3 purchase,medium
A,Road,204,high,9,ontime,seldom calls,0-3 purchase,medium
B,Road,271,medium,6,late,seldom calls,0-3 purchase,medium
C,Road,108,medium,7,ontime,seldom calls,> 3 purchase,medium
F,Road,206,low,4,ontime,occasionally calls,0-3 purchase,medium
D,Road,180,high,8,ontime,seldom calls,0-3 purchase,medium
F,Road,193,low,7,ontime,seldom calls,0-3 purchase,medium
A,Road,238,medium,10,ontime,frequently calls,> 3 purchase,medium
B,Flight,234,low,6,ontime,frequently calls,0-3 purchase,medium
C,Flight,271,low,5,late,seldom calls,0-3 purchase,medium
F,Flight,102,medium,3,ontime,frequently calls,> 3 purchase,medium
D,Flight,185,medium,7,late,seldom calls,0-3 purchase,medium
F,Flight,273,high,10,late,occasionally calls,0-3 purchase,heavy
A,Flight,233,low,9,ontime,frequently calls,> 3 purchase,medium
B,Flight,191,medium,7,late,frequently calls,0-3 purchase,heavy
C,Flight,239,medium,4,late,occasionally calls,0-3 purchase,medium
F,Flight,270,low,7,ontime,seldom calls,0-3 purchase,medium
D,Flight,279,low,8,late,frequently calls,> 3 purchase,medium
F,Flight,233,high,2,late,frequently calls,> 3 purchase,medium
A,Flight,178,high,3,late,seldom calls,> 3 purchase,medium
B,Flight,184,medium,2,ontime,seldom calls,> 3 purchase,medium
C,Flight,202,low,2,ontime,seldom calls,0-3 purchase,medium
F,Flight,149,medium,3,ontime,seldom calls,0-3 purchase,medium
D,Flight,133,high,2,ontime,frequently calls,0-3 purchase,medium
F,Flight,224,low,9,late,occasionally calls,> 3 purchase,medium
A,Flight,252,medium,6,ontime,occasionally calls,0-3 purchase,medium
B,Flight,208,medium,6,late,occasionally calls,0-3 purchase,medium
C,Flight,256,low,3,ontime,frequently calls,0-3 purchase,medium
F,Flight,206,medium,10,late,seldom calls,> 3 purchase,medium
D,Flight,177,low,5,ontime,seldom calls,> 3 purchase,medium
F,Ship,269,medium,3,late,occasionally calls,> 3 purchase,medium
A,Ship,216,high,2,ontime,seldom calls,0-3 purchase,medium
B,Ship,221,high,7,ontime,seldom calls,0-3 purchase,medium
C,Ship,210,medium,6,ontime,frequently calls,0-3 purchase,medium
F,Ship,205,medium,9,ontime,occasionally calls,0-3 purchase,medium
D,Ship,237,low,7,ontime,seldom calls,0-3 purchase,medium
F,Ship,139,medium,2,late,frequently calls,0-3 purchase,medium
A,Ship,163,low,3,late,occasionally calls,0-3 purchase,medium
B,Ship,171,low,4,ontime,occasionally calls,0-3 purchase,medium
C,Ship,261,low,9,late,occasionally calls,0-3 purchase,heavy
F,Ship,195,low,8,ontime,occasionally calls,0-3 purchase,medium
D,Ship,190,high,5,late,occasionally calls,> 3 purchase,medium
F,Ship,236,high,4,late,frequently calls,0-3 purchase,heavy
A,Ship,254,medium,6,ontime,seldom calls,0-3 purchase,heavy
B,Ship,157,medium,10,ontime,seldom calls,0-3 purchase,medium
C,Ship,245,medium,1,ontime,seldom calls,0-3 purchase,medium
F,Ship,144,medium,8,ontime,occasionally calls,> 3 purchase,medium
D,Ship,217,low,3,late,frequently calls,> 3 purchase,heavy
F,Ship,249,low,2,ontime,seldom calls,0-3 purchase,medium
A,Ship,176,low,2,ontime,seldom calls,0-3 purchase,medium
B,Ship,230,low,1,late,seldom calls,0-3 purchase,medium
C,Ship,204,medium,5,late,seldom calls,0-3 purchase,medium
F,Ship,266,low,5,ontime,occasionally calls,0-3 purchase,heavy
D,Ship,213,low,2,ontime,occasionally calls,0-3 purchase,heavy
F,Ship,147,low,8,ontime,seldom calls,0-3 purchase,heavy
A,Ship,201,low,3,late,seldom calls,0-3 purchase,medium
B,Ship,248,low,5,ontime,seldom calls,0-3 purchase,medium
C,Ship,167,medium,5,ontime,occasionally calls,0-3 purchase,heavy
F,Ship,232,low,10,ontime,seldom calls,0-3 purchase,heavy
D,Ship,163,medium,9,late,frequently calls,0-3 purchase,medium
F,Ship,201,medium,3,late,occasionally calls,> 3 purchase,heavy
A,Ship,252,low,9,ontime,occasionally calls,0-3 purchase,medium
B,Ship,146,low,10,ontime,seldom calls,> 3 purchase,medium
C,Ship,160,medium,3,ontime,frequently calls,0-3 purchase,heavy
F,Ship,167,low,10,ontime,frequently calls,> 3 purchase,medium
D,Ship,224,medium,8,late,occasionally calls,0-3 purchase,medium
F,Ship,239,medium,5,ontime,occasionally calls,0-3 purchase,heavy
A,Ship,151,low,7,ontime,occasionally calls,> 3 purchase,medium
B,Ship,264,low,10,ontime,occasionally calls,0-3 purchase,heavy
C,Ship,242,medium,8,late,occasionally calls,0-3 purchase,medium
F,Ship,204,high,9,ontime,seldom calls,> 3 purchase,medium
D,Ship,260,medium,1,ontime,seldom calls,0-3 purchase,heavy
F,Ship,279,medium,6,ontime,seldom calls,0-3 purchase,medium
A,Ship,225,low,8,ontime,seldom calls,> 3 purchase,medium
B,Ship,190,low,9,ontime,seldom calls,0-3 purchase,medium
C,Ship,152,low,7,ontime,occasionally calls,0-3 purchase,medium
F,Ship,201,medium,7,late,seldom calls,> 3 purchase,medium
D,Ship,191,medium,7,ontime,seldom calls,0-3 purchase,medium
F,Ship,140,low,1,ontime,occasionally calls,0-3 purchase,medium
A,Ship,199,medium,8,ontime,frequently calls,> 3 purchase,medium
B,Ship,194,medium,6,ontime,occasionally calls,0-3 purchase,medium
C,Ship,273,low,5,late,occasionally calls,0-3 purchase,heavy
F,Ship,259,medium,4,late,occasionally calls,0-3 purchase,medium
D,Ship,180,medium,5,late,occasionally calls,0-3 purchase,medium
F,Ship,251,low,9,ontime,frequently calls,0-3 purchase,medium
A,Ship,269,low,5,ontime,frequently calls,0-3 purchase,medium
B,Ship,274,medium,2,ontime,frequently calls,> 3 purchase,medium
C,Ship,250,medium,10,late,frequently calls,0-3 purchase,medium
F,Ship,265,medium,8,ontime,seldom calls,0-3 purchase,heavy
D,Ship,169,medium,6,late,occasionally calls,> 3 purchase,medium
F,Ship,211,high,8,late,seldom calls,0-3 purchase,medium
A,Ship,245,low,6,ontime,occasionally calls,0-3 purchase,heavy
B,Ship,188,low,6,late,occasionally calls,0-3 purchase,heavy
C,Ship,244,medium,10,late,seldom calls,0-3 purchase,medium
F,Ship,233,medium,7,ontime,seldom calls,0-3 purchase,heavy
D,Ship,144,medium,6,ontime,seldom calls,0-3 purchase,medium
F,Ship,221,low,6,ontime,seldom calls,0-3 purchase,medium
A,Ship,267,high,2,late,seldom calls,0-3 purchase,medium
B,Ship,211,high,7,ontime,seldom calls,0-3 purchase,medium
C,Ship,205,low,10,ontime,occasionally calls,0-3 purchase,medium
F,Ship,144,high,1,ontime,seldom calls,0-3 purchase,medium
D,Ship,195,medium,4,ontime,seldom calls,> 3 purchase,medium
F,Ship,232,medium,6,ontime,frequently calls,> 3 purchase,medium
A,Ship,199,medium,1,ontime,frequently calls,> 3 purchase,heavy
B,Ship,232,low,5,ontime,frequently calls,0-3 purchase,medium
C,Ship,272,low,1,late,frequently calls,0-3 purchase,heavy
F,Ship,167,medium,1,ontime,seldom calls,0-3 purchase,medium
D,Ship,272,high,10,ontime,seldom calls,> 3 purchase,medium
F,Ship,247,low,10,ontime,frequently calls,> 3 purchase,light
A,Ship,275,medium,9,late,frequently calls,> 3 purchase,light
B,Ship,291,low,8,ontime,frequently calls,> 3 purchase,light
C,Ship,265,low,7,late,frequently calls,> 3 purchase,light
F,Ship,250,medium,4,late,frequently calls,> 3 purchase,light
D,Ship,291,low,8,ontime,frequently calls,> 3 purchase,light
F,Ship,255,low,9,ontime,frequently calls,> 3 purchase,light
A,Ship,290,medium,2,late,frequently calls,> 3 purchase,light
B,Ship,276,low,2,late,frequently calls,> 3 purchase,light
C,Ship,149,medium,8,ontime,occasionally calls,0-3 purchase,light
F,Ship,201,medium,2,ontime,seldom calls,> 3 purchase,medium
D,Ship,191,medium,8,late,seldom calls,0-3 purchase,heavy
F,Ship,140,low,4,late,occasionally calls,0-3 purchase,heavy
A,Ship,199,medium,2,late,frequently calls,> 3 purchase,medium
B,Ship,194,medium,9,ontime,occasionally calls,0-3 purchase,heavy
C,Road,273,low,9,ontime,occasionally calls,0-3 purchase,heavy
F,Road,259,medium,8,ontime,occasionally calls,0-3 purchase,medium
D,Road,180,medium,1,ontime,occasionally calls,0-3 purchase,medium
F,Road,251,low,3,late,frequently calls,0-3 purchase,medium
A,Road,269,low,8,ontime,frequently calls,0-3 purchase,medium
B,Road,274,medium,1,ontime,frequently calls,> 3 purchase,medium
C,Road,250,medium,6,ontime,frequently calls,0-3 purchase,heavy
F,Road,265,medium,3,ontime,seldom calls,0-3 purchase,medium
D,Road,169,medium,6,ontime,occasionally calls,> 3 purchase,medium
F,Road,211,high,4,late,seldom calls,0-3 purchase,medium
A,Road,245,low,5,late,occasionally calls,0-3 purchase,medium
B,Road,188,low,4,ontime,occasionally calls,0-3 purchase,medium
C,Road,244,medium,8,late,seldom calls,0-3 purchase,heavy
F,Road,233,medium,10,ontime,seldom calls,0-3 purchase,medium
D,Road,144,medium,8,late,seldom calls,0-3 purchase,heavy
F,Road,221,low,7,ontime,seldom calls,0-3 purchase,medium
A,Road,267,high,1,late,seldom calls,0-3 purchase,medium
B,Road,211,high,1,ontime,seldom calls,0-3 purchase,medium
C,Road,205,low,6,ontime,occasionally calls,0-3 purchase,medium
F,Road,144,high,9,late,seldom calls,0-3 purchase,medium
D,Road,195,medium,9,ontime,seldom calls,> 3 purchase,heavy
F,Road,232,medium,6,late,frequently calls,> 3 purchase,medium
A,Flight,199,medium,8,ontime,frequently calls,> 3 purchase,medium
B,Flight,232,low,3,late,frequently calls,0-3 purchase,heavy
C,Flight,272,low,4,ontime,frequently calls,0-3 purchase,medium
F,Flight,167,medium,3,late,seldom calls,0-3 purchase,heavy
D,Flight,272,high,7,late,seldom calls,> 3 purchase,medium
F,Flight,247,low,2,ontime,frequently calls,> 3 purchase,light
A,Flight,275,medium,10,late,frequently calls,> 3 purchase,light
B,Flight,291,low,9,ontime,frequently calls,> 3 purchase,light
C,Flight,265,low,7,late,frequently calls,> 3 purchase,light
F,Flight,250,medium,9,ontime,frequently calls,> 3 purchase,light
D,Flight,291,low,2,late,frequently calls,> 3 purchase,light
F,Flight,255,low,2,ontime,frequently calls,> 3 purchase,light
A,Flight,290,medium,9,ontime,frequently calls,> 3 purchase,light
B,Flight,247,medium,4,late,frequently calls,> 3 purchase,light
C,Flight,152,low,9,ontime,frequently calls,0-3 purchase,light
F,Flight,278,low,5,late,frequently calls,> 3 purchase,light
D,Flight,260,medium,2,ontime,frequently calls,> 3 purchase,light
F,Flight,254,low,6,ontime,frequently calls,> 3 purchase,light
A,Flight,151,low,6,ontime,seldom calls,> 3 purchase,light
B,Flight,198,medium,4,late,seldom calls,0-3 purchase,light
C,Flight,243,low,9,late,frequently calls,> 3 purchase,light
F,Flight,245,low,8,ontime,frequently calls,> 3 purchase,light
D,Ship,300,low,8,late,frequently calls,> 3 purchase,light
F,Ship,303,medium,10,ontime,frequently calls,> 3 purchase,light
A,Ship,286,low,3,ontime,frequently calls,> 3 purchase,light
B,Ship,248,medium,1,late,frequently calls,> 3 purchase,light
C,Ship,244,low,9,late,frequently calls,> 3 purchase,light
F,Ship,290,low,9,ontime,frequently calls,> 3 purchase,light
D,Ship,260,low,10,late,occasionally calls,> 3 purchase,light
F,Ship,310,medium,1,late,frequently calls,> 3 purchase,light
A,Ship,247,low,3,late,frequently calls,> 3 purchase,light
B,Ship,281,low,8,late,frequently calls,> 3 purchase,light
C,Ship,260,medium,9,ontime,frequently calls,> 3 purchase,light
F,Ship,263,low,6,ontime,frequently calls,> 3 purchase,light
D,Ship,285,medium,10,ontime,frequently calls,> 3 purchase,light
F,Ship,269,medium,9,late,seldom calls,0-3 purchase,medium
A,Ship,205,low,2,ontime,seldom calls,> 3 purchase,heavy
B,Ship,109,low,4,ontime,seldom calls,0-3 purchase,heavy
C,Ship,216,low,6,ontime,frequently calls,0-3 purchase,medium
F,Ship,184,medium,8,ontime,seldom calls,0-3 purchase,medium
D,Ship,106,low,6,ontime,occasionally calls,0-3 purchase,heavy
F,Ship,228,low,5,late,seldom calls,0-3 purchase,medium
A,Ship,140,medium,8,ontime,occasionally calls,0-3 purchase,medium
B,Ship,251,medium,5,ontime,occasionally calls,0-3 purchase,medium
C,Ship,153,medium,5,late,seldom calls,0-3 purchase,medium
F,Ship,176,medium,1,ontime,occasionally calls,0-3 purchase,heavy
D,Ship,206,medium,4,late,occasionally calls,0-3 purchase,medium
F,Ship,189,low,9,ontime,seldom calls,0-3 purchase,medium
A,Ship,251,medium,1,late,seldom calls,> 3 purchase,medium
B,Ship,155,low,1,late,occasionally calls,0-3 purchase,medium
C,Ship,260,medium,2,late,frequently calls,> 3 purchase,medium
F,Ship,156,medium,4,ontime,frequently calls,> 3 purchase,medium
D,Ship,225,medium,7,late,occasionally calls,0-3 purchase,medium
F,Ship,284,medium,8,late,frequently calls,> 3 purchase,medium
A,Ship,263,low,3,late,frequently calls,0-3 purchase,medium
B,Ship,238,medium,2,ontime,seldom calls,0-3 purchase,heavy
C,Ship,267,low,7,ontime,frequently calls,0-3 purchase,medium
F,Ship,101,medium,9,ontime,seldom calls,0-3 purchase,medium
D,Ship,175,medium,1,ontime,seldom calls,0-3 purchase,medium
F,Ship,261,low,3,ontime,occasionally calls,0-3 purchase,medium
A,Ship,150,low,10,late,frequently calls,0-3 purchase,medium
B,Ship,206,medium,2,late,seldom calls,> 3 purchase,heavy
C,Ship,254,low,10,ontime,occasionally calls,> 3 purchase,medium
F,Ship,159,low,5,late,occasionally calls,0-3 purchase,medium
D,Ship,284,medium,6,ontime,seldom calls,0-3 purchase,medium
F,Ship,170,low,9,ontime,seldom calls,0-3 purchase,medium
A,Ship,245,low,7,ontime,occasionally calls,0-3 purchase,medium
B,Ship,152,medium,5,ontime,occasionally calls,0-3 purchase,medium
C,Ship,193,high,4,late,frequently calls,> 3 purchase,heavy
F,Ship,231,low,8,late,frequently calls,0-3 purchase,heavy
D,Ship,212,low,3,ontime,occasionally calls,0-3 purchase,medium
F,Ship,185,medium,8,late,seldom calls,0-3 purchase,medium
A,Ship,223,low,10,late,occasionally calls,0-3 purchase,heavy
B,Ship,241,medium,9,ontime,occasionally calls,> 3 purchase,medium
C,Ship,215,low,5,late,frequently calls,0-3 purchase,heavy
F,Ship,261,medium,6,ontime,occasionally calls,0-3 purchase,heavy
D,Ship,158,medium,7,late,occasionally calls,> 3 purchase,medium
F,Ship,166,medium,8,ontime,seldom calls,0-3 purchase,heavy
A,Ship,280,high,8,ontime,occasionally calls,> 3 purchase,medium
B,Ship,264,low,8,ontime,seldom calls,0-3 purchase,heavy
C,Ship,204,medium,6,ontime,seldom calls,0-3 purchase,heavy
F,Ship,261,medium,9,late,occasionally calls,0-3 purchase,medium
D,Ship,138,medium,4,ontime,frequently calls,0-3 purchase,medium
F,Ship,225,medium,10,late,occasionally calls,0-3 purchase,medium
A,Ship,238,low,1,ontime,occasionally calls,> 3 purchase,medium
B,Ship,234,medium,3,late,occasionally calls,0-3 purchase,medium
C,Ship,237,low,7,ontime,occasionally calls,0-3 purchase,medium
F,Ship,165,medium,4,late,seldom calls,0-3 purchase,heavy
D,Ship,148,low,10,late,seldom calls,0-3 purchase,heavy
F,Ship,148,high,2,late,frequently calls,> 3 purchase,heavy
A,Ship,218,low,4,late,seldom calls,0-3 purchase,medium
B,Ship,218,low,5,late,occasionally calls,> 3 purchase,medium
C,Ship,181,low,8,ontime,occasionally calls,> 3 purchase,medium
F,Ship,138,low,8,late,seldom calls,0-3 purchase,medium
D,Ship,206,high,5,ontime,seldom calls,0-3 purchase,medium
F,Ship,172,high,7,ontime,frequently calls,0-3 purchase,medium
A,Ship,160,high,5,ontime,occasionally calls,0-3 purchase,medium
B,Ship,225,low,1,late,frequently calls,> 3 purchase,medium
C,Ship,206,low,2,late,frequently calls,> 3 purchase,medium
F,Ship,232,low,2,late,frequently calls,0-3 purchase,medium
D,Ship,232,low,6,ontime,seldom calls,0-3 purchase,medium
F,Ship,197,low,3,ontime,seldom calls,0-3 purchase,medium
A,Ship,246,low,3,ontime,frequently calls,0-3 purchase,medium
B,Ship,241,medium,3,ontime,seldom calls,0-3 purchase,medium
C,Ship,211,medium,4,ontime,frequently calls,> 3 purchase,medium
F,Ship,162,low,9,ontime,seldom calls,0-3 purchase,medium
D,Ship,264,low,10,ontime,seldom calls,> 3 purchase,medium
F,Ship,211,low,5,ontime,frequently calls,0-3 purchase,medium
A,Ship,159,low,7,ontime,occasionally calls,> 3 purchase,medium
B,Ship,166,high,2,late,frequently calls,0-3 purchase,medium
C,Ship,163,medium,1,ontime,occasionally calls,> 3 purchase,medium
F,Ship,164,low,3,ontime,occasionally calls,0-3 purchase,heavy
D,Ship,255,high,6,late,frequently calls,0-3 purchase,medium
F,Ship,153,medium,6,ontime,occasionally calls,0-3 purchase,heavy
A,Ship,165,low,6,ontime,seldom calls,0-3 purchase,medium
B,Road,162,medium,6,late,seldom calls,0-3 purchase,medium
C,Road,223,low,8,ontime,seldom calls,0-3 purchase,medium
F,Road,200,medium,6,late,seldom calls,0-3 purchase,medium
D,Road,194,medium,3,late,seldom calls,0-3 purchase,medium
F,Road,257,low,6,late,seldom calls,0-3 purchase,medium
A,Road,188,low,5,ontime,seldom calls,0-3 purchase,medium
B,Road,221,medium,1,ontime,seldom calls,0-3 purchase,medium
C,Road,193,low,6,late,occasionally calls,0-3 purchase,medium
